"","grid_id","repl","dispersal","plevel","ptype","pext","ext_pops","ext_pops_after","mean_cv","cv_reg","mean_10_during","min_10_during","max_10_during","mean_10_after","max_10_after","min_10_after","mean_cv_10_after","cv_reg_10_after"
"1","star",1,0,"0.3","random","0.1",0,0,0.390453296326151,0.110912609567529,2459.0864497215,2103.93699911463,2798.82840951326,2334.87839948163,2718.27724371671,2077.64667582628,0.325849550925411,0.0826441941435401
"2","star",1,0,"0.6","random","0.1",0,1,0.37662165029395,0.113489319083805,2526.38002821654,2187.53396628816,2721.22603077282,2422.6612527394,2696.42671821755,2130.2954752023,0.315475512001857,0.0805843011490063
"3","star",1,0,"0.9","random","0.1",0,1,0.375534799527661,0.0926135548648435,2279.69872590499,2172.43572520321,2704.01420948214,2111.11501500258,2376.83584610281,1808.15127314612,0.343171190843729,0.0918475318704945
"4","star",1,0,"0.3","correlated","0.1",0,0,0.3732780173346,0.0804539105377793,2423.01205578299,2103.61470645256,2615.06185306528,2665.47014736428,3168.86609984627,2136.4384210398,0.305762612856021,0.118103805171674
"5","star",1,0,"0.6","correlated","0.1",0,1,0.395677213466257,0.0973927912611051,2415.89930992662,2168.08944153839,3017.59110340353,2402.08898113851,2829.68711692525,1894.99141179637,0.292029354879109,0.115422633110521
"6","star",1,0,"0.9","correlated","0.1",0,1,0.370130121044764,0.0875168618246608,2274.13837055055,2121.81053949028,2554.90288070178,2179.62216640243,2636.59843599126,1847.18976141888,0.372156835194636,0.101335534003787
"7","star",1,0,"0.3","hub","0.1",0,0,0.378596445194066,0.088532162250502,2396.06883093184,2172.01999394218,2718.48302138528,2455.14912982737,2638.22063289198,2192.298584094,0.312051363252396,0.0674041239970581
"8","star",1,0,"0.6","hub","0.1",0,1,0.400344446868574,0.109519000189627,2297.2290251075,2058.37570141275,2736.38513613304,2271.46130092055,2794.54067002353,1787.93131709561,0.35867506003816,0.155018683758664
"9","star",1,0,"0.9","hub","0.1",0,1,0.405327181800631,0.086255625279735,2290.07167348022,2007.69243422787,2585.65828168803,2192.12664996502,2583.35322399442,1726.10533338474,0.335545629624058,0.128206398350601
"10","star",1,0,"0.3","random","0.5",0,1,0.37057418511762,0.0884911381617739,2485.32560808481,2171.72867797412,2773.37607965557,2266.26384047905,2537.39246843888,2059.78618134988,0.311234743225456,0.066128003459666
"11","star",1,0,"0.6","random","0.5",0,7,0.403107108581594,0.105304704615568,2239.18567936178,1997.13112323958,2655.82029206879,1144.24091889198,1553.34055515553,876.107396209581,0.309466681052761,0.187289303261501
"12","star",1,0,"0.9","random","0.5",0,7,0.357525192141067,0.104092495649758,2314.75229063053,1900.55617819618,2583.32602710802,1385.28815208046,1791.13883662435,1166.13021106086,0.34707497131942,0.143111034034318
"13","star",1,0,"0.3","correlated","0.5",0,0,0.369047084660008,0.096978411137378,2243.76165045388,1733.0823380295,2518.38473889468,2209.7890527101,2540.75914800612,1872.40219902921,0.292484287430631,0.0889052613461894
"14","star",1,0,"0.6","correlated","0.5",0,7,0.382335110748391,0.0843124826594352,2249.42626065485,1905.43309763175,2517.34850590157,1323.42862011665,1567.92901411767,956.08845062643,0.357390984151912,0.165246838336436
"15","star",1,0,"0.9","correlated","0.5",0,7,0.390402449082618,0.103501915953408,2172.15140218661,1943.85690716497,2661.93272690433,1521.71563362536,1952.46993512767,1168.17399426266,0.331396858653931,0.146843650168882
"16","star",1,0,"0.3","hub","0.5",0,0,0.375778860915535,0.096893362719161,2186.3734063607,1987.5662939311,2613.08968743542,2465.41263634664,2834.8301821642,2138.7200686164,0.352331582307774,0.0929969775530321
"17","star",1,0,"0.6","hub","0.5",0,7,0.366260313046952,0.0860025670385112,2462.24162664701,2042.72906259642,2824.09120329178,1211.69387136423,1453.67123365798,960.750804953797,0.277684056022474,0.106845192835398
"18","star",1,0,"0.9","hub","0.5",0,7,0.363928824768358,0.0940712143017366,2295.4475124143,1778.2995983923,2616.87984767879,1268.68166115365,1419.28218412334,1169.63117781927,0.309614435014093,0.0624218404837456
"19","star",1,0,"0.3","random","0.9",0,0,0.362570500264849,0.0820168052089145,2514.42417875597,2068.80361646403,2799.28887677177,2307.29042423271,2492.61826094982,2079.9823908319,0.347310347751206,0.058849572378213
"20","star",1,0,"0.6","random","0.9",0,13,0.373521571811867,0.103236167576439,2628.58607549317,2248.55253681273,3016.41003547792,397.368537749838,612.136184808111,270.011533622152,0.516967357341072,0.278710027993238
"21","star",1,0,"0.9","random","0.9",0,13,0.411581354707497,0.088997263347166,2362.24945480483,1987.6602031402,2768.23290965279,345.864991649087,473.536782544544,248.419925889056,0.330564579367978,0.193015962951248
"22","star",1,0,"0.3","correlated","0.9",0,0,0.391858506685476,0.0988624170853606,2565.6336262659,2052.73481871832,2922.22523239307,2299.89664198472,2593.15925266719,1971.84770868685,0.375380691217813,0.0993718472383079
"23","star",1,0,"0.6","correlated","0.9",0,13,0.359598514311362,0.0855861555222812,2386.86848570915,1949.69978856189,2804.48994819667,381.632289481179,581.473364937082,244.595853757254,0.382019481014034,0.346582027545787
"24","star",1,0,"0.9","correlated","0.9",0,13,0.393082003915562,0.11813256433284,2530.87453578243,2135.17800460059,2954.36283497923,345.30796919192,468.48599598608,260.92530756054,0.281308638695611,0.180621186173854
"25","star",1,0,"0.3","hub","0.9",0,0,0.379299654852597,0.102841261729234,2601.1165470486,2243.52520680364,3030.34105175744,2524.29774005972,2972.00508478266,2237.1947518432,0.327609148811771,0.0952819826555898
