"","grid_id","repl","dispersal","plevel","ptype","pext","ext_pops","ext_pops_after","mean_cv","cv_reg","mean_10_during","min_10_during","max_10_during","mean_10_after","max_10_after","min_10_after","mean_cv_10_after","cv_reg_10_after"
"1","star",1,0,"0.3","random","0.1",0,0,0.372009552904297,0.106644435622294,2515.15094687214,2133.15613115129,2854.0290685965,2245.63507795726,2539.21921855652,1911.29562820189,0.326558032207965,0.084230315537996
"2","star",1,0,"0.6","random","0.1",0,0,0.386868013679515,0.119356140656115,2562.88206679123,2140.4049413177,3280.04268391886,2532.43624463523,2828.18093153887,2221.84258904648,0.333973443473738,0.0911873112889528
"3","star",1,0,"0.9","random","0.1",0,0,0.362906896465633,0.0906057680993501,2413.39671595591,2189.53485943107,2762.15367501999,2340.77775556007,2748.75763267559,1955.36973770385,0.377066182506506,0.0978853332621937
"4","star",1,0,"0.3","correlated","0.1",0,0,0.390979344238806,0.0850013052794123,2258.17487647083,1966.11326744653,2766.67177601621,2387.2535957748,2744.2625678316,2132.00654320675,0.336470151644921,0.0787542737597395
"5","star",1,0,"0.6","correlated","0.1",0,0,0.391368185576187,0.104851266226057,2339.36893200618,2056.73386487793,2617.84515151659,2176.95053222743,2411.85598284822,1871.68400982371,0.318324450948407,0.0740153908911485
"6","star",1,0,"0.9","correlated","0.1",0,1,0.375736247561444,0.0858982608435271,2259.29133324896,1734.85848734365,2607.02188765396,2163.97197688635,2428.24908481274,1936.78024039558,0.315416544778323,0.0610491471722912
"7","star",1,0,"0.3","hub","0.1",0,0,0.382126993144535,0.105318035362382,2337.89756011192,1884.10693492104,2693.11117365342,2380.59751674702,2971.10456818265,1873.09894347175,0.343624260721925,0.159399133428418
"8","star",1,0,"0.6","hub","0.1",0,0,0.363508852887047,0.0951042817611773,2412.08718181718,2000.78869794419,2916.38512302603,2220.33736543452,2635.8197479191,2047.95757118018,0.400024586463275,0.0811558578771821
"9","star",1,0,"0.9","hub","0.1",0,0,0.36724787142375,0.0846661414620248,2415.20084125168,2249.27297414774,2684.73673816863,2477.44319279002,2833.15744116775,2253.55337819125,0.410188802082942,0.0852161560750002
"10","star",1,0,"0.3","random","0.5",0,0,0.383170227800063,0.0953998719165724,2310.41075675984,2070.37734529743,2552.92348510756,1925.72586817086,2227.52636023501,1632.09306125858,0.351716005880505,0.0976839427454632
"11","star",1,0,"0.6","random","0.5",0,0,0.369481496529162,0.120188405928971,2528.76734295171,2004.48582359264,3283.75241430853,1701.48172469302,2000.45014939858,1428.90773249457,0.331706452574377,0.121152313097214
