"","CellNo","XCoordCell","YCoordCell","PopSize","LandscNo"
"1",1,117.005164042218,-33.5058142275483,35.7118328068824,7
"2",2,117.015795053326,-33.5058142275483,43.0730709229418,7
"3",3,117.026426064434,-33.5058142275483,3.58384310174148,7
"4",4,117.037057075543,-33.5058142275483,0,7
"5",5,117.047688086651,-33.5058142275483,0,7
"6",6,117.058319097759,-33.5058142275483,31.7689791826853,7
"7",7,117.068950108867,-33.5058142275483,37.2129606472623,7
"8",8,117.079581119975,-33.5058142275483,47.7132709286297,7
"9",9,117.090212131083,-33.5058142275483,90.2359937397698,7
"10",10,117.100843142192,-33.5058142275483,96.7065569093423,7
"11",11,117.1114741533,-33.5058142275483,74.5135562878635,7
"12",12,117.122105164408,-33.5058142275483,44.9770985791894,7
"13",13,117.132736175516,-33.5058142275483,24.8160406021057,7
"14",14,117.143367186624,-33.5058142275483,0,7
"15",15,117.153998197733,-33.5058142275483,7.50429561987799,7
"16",16,117.164629208841,-33.5058142275483,0,7
"17",17,117.175260219949,-33.5058142275483,41.7341003709748,7
"18",18,117.185891231057,-33.5058142275483,14.7139301318696,7
"19",19,117.196522242165,-33.5058142275483,0,7
"20",20,117.207153253273,-33.5058142275483,13.0521183986781,7
"21",21,117.217784264382,-33.5058142275483,11.5728247982532,7
"22",22,117.22841527549,-33.5058142275483,0,7
"23",23,117.239046286598,-33.5058142275483,0,7
"24",24,117.249677297706,-33.5058142275483,0,7
"25",25,117.260308308814,-33.5058142275483,0,7
"26",26,117.270939319923,-33.5058142275483,0,7
"27",27,117.281570331031,-33.5058142275483,0,7
"28",28,117.292201342139,-33.5058142275483,0,7
"29",29,117.302832353247,-33.5058142275483,0,7
"30",30,117.313463364355,-33.5058142275483,0,7
"31",31,117.324094375463,-33.5058142275483,0,7
"32",32,117.334725386572,-33.5058142275483,0,7
"33",33,117.34535639768,-33.5058142275483,0,7
"34",34,117.355987408788,-33.5058142275483,0,7
"35",35,117.366618419896,-33.5058142275483,0,7
"36",36,117.377249431004,-33.5058142275483,0,7
"37",37,117.387880442112,-33.5058142275483,0,7
"38",38,117.398511453221,-33.5058142275483,0,7
"39",39,117.409142464329,-33.5058142275483,0,7
"40",40,117.419773475437,-33.5058142275483,0,7
"41",41,117.430404486545,-33.5058142275483,0,7
"42",42,117.441035497653,-33.5058142275483,0,7
"43",43,117.451666508762,-33.5058142275483,0,7
"44",44,117.46229751987,-33.5058142275483,0,7
"45",45,117.472928530978,-33.5058142275483,0,7
"46",46,117.483559542086,-33.5058142275483,0,7
"47",47,117.494190553194,-33.5058142275483,0,7
"48",48,117.504821564302,-33.5058142275483,0,7
"49",49,117.515452575411,-33.5058142275483,0,7
"50",50,117.526083586519,-33.5058142275483,0,7
"51",51,117.005164042218,-33.5164452386563,0,7
"52",52,117.015795053326,-33.5164452386563,0,7
"53",53,117.026426064434,-33.5164452386563,0,7
"54",54,117.037057075543,-33.5164452386563,0,7
"55",55,117.047688086651,-33.5164452386563,0,7
"56",56,117.058319097759,-33.5164452386563,0,7
"57",57,117.068950108867,-33.5164452386563,0,7
"58",58,117.079581119975,-33.5164452386563,3.88414353181213,7
"59",59,117.090212131083,-33.5164452386563,0,7
"60",60,117.100843142192,-33.5164452386563,0,7
"61",61,117.1114741533,-33.5164452386563,28.9852123842766,7
"62",62,117.122105164408,-33.5164452386563,26.4182272875074,7
"63",63,117.132736175516,-33.5164452386563,21.2857355294842,7
"64",64,117.143367186624,-33.5164452386563,7.57567462209543,7
"65",65,117.153998197733,-33.5164452386563,35.9094997179531,7
"66",66,117.164629208841,-33.5164452386563,70.6879917576325,7
"67",67,117.175260219949,-33.5164452386563,83.8490217288729,7
"68",68,117.185891231057,-33.5164452386563,11.6200631404722,7
"69",69,117.196522242165,-33.5164452386563,22.4808803501024,7
"70",70,117.207153253273,-33.5164452386563,3.82029578238614,7
"71",71,117.217784264382,-33.5164452386563,0,7
"72",72,117.22841527549,-33.5164452386563,0,7
"73",73,117.239046286598,-33.5164452386563,0,7
"74",74,117.249677297706,-33.5164452386563,0,7
"75",75,117.260308308814,-33.5164452386563,0,7
"76",76,117.270939319923,-33.5164452386563,0,7
"77",77,117.281570331031,-33.5164452386563,0,7
"78",78,117.292201342139,-33.5164452386563,0,7
"79",79,117.302832353247,-33.5164452386563,0,7
"80",80,117.313463364355,-33.5164452386563,0,7
"81",81,117.324094375463,-33.5164452386563,0,7
"82",82,117.334725386572,-33.5164452386563,0,7
"83",83,117.34535639768,-33.5164452386563,0,7
"84",84,117.355987408788,-33.5164452386563,0,7
"85",85,117.366618419896,-33.5164452386563,0,7
"86",86,117.377249431004,-33.5164452386563,0,7
"87",87,117.387880442112,-33.5164452386563,0,7
"88",88,117.398511453221,-33.5164452386563,0,7
"89",89,117.409142464329,-33.5164452386563,0,7
"90",90,117.419773475437,-33.5164452386563,0,7
"91",91,117.430404486545,-33.5164452386563,0,7
"92",92,117.441035497653,-33.5164452386563,0,7
"93",93,117.451666508762,-33.5164452386563,0,7
"94",94,117.46229751987,-33.5164452386563,0,7
"95",95,117.472928530978,-33.5164452386563,0,7
"96",96,117.483559542086,-33.5164452386563,0,7
"97",97,117.494190553194,-33.5164452386563,0,7
"98",98,117.504821564302,-33.5164452386563,0,7
"99",99,117.515452575411,-33.5164452386563,0,7
"100",100,117.526083586519,-33.5164452386563,0,7
"101",101,117.005164042218,-33.5270762497642,0,7
"102",102,117.015795053326,-33.5270762497642,0,7
"103",103,117.026426064434,-33.5270762497642,0,7
"104",104,117.037057075543,-33.5270762497642,0,7
"105",105,117.047688086651,-33.5270762497642,0,7
"106",106,117.058319097759,-33.5270762497642,0,7
"107",107,117.068950108867,-33.5270762497642,0,7
"108",108,117.079581119975,-33.5270762497642,0,7
"109",109,117.090212131083,-33.5270762497642,3.85479963843886,7
"110",110,117.100843142192,-33.5270762497642,3.81583097339451,7
"111",111,117.1114741533,-33.5270762497642,0,7
"112",112,117.122105164408,-33.5270762497642,0,7
"113",113,117.132736175516,-33.5270762497642,0,7
"114",114,117.143367186624,-33.5270762497642,7.33893176195805,7
"115",115,117.153998197733,-33.5270762497642,29.0749180040699,7
"116",116,117.164629208841,-33.5270762497642,82.0857652805485,7
"117",117,117.175260219949,-33.5270762497642,58.1358880487294,7
"118",118,117.185891231057,-33.5270762497642,7.81372615549632,7
"119",119,117.196522242165,-33.5270762497642,53.4917586796046,7
"120",120,117.207153253273,-33.5270762497642,0,7
"121",121,117.217784264382,-33.5270762497642,0,7
"122",122,117.22841527549,-33.5270762497642,0,7
"123",123,117.239046286598,-33.5270762497642,0,7
"124",124,117.249677297706,-33.5270762497642,0,7
"125",125,117.260308308814,-33.5270762497642,0,7
"126",126,117.270939319923,-33.5270762497642,0,7
"127",127,117.281570331031,-33.5270762497642,0,7
"128",128,117.292201342139,-33.5270762497642,0,7
"129",129,117.302832353247,-33.5270762497642,0,7
"130",130,117.313463364355,-33.5270762497642,0,7
"131",131,117.324094375463,-33.5270762497642,0,7
"132",132,117.334725386572,-33.5270762497642,0,7
"133",133,117.34535639768,-33.5270762497642,0,7
"134",134,117.355987408788,-33.5270762497642,0,7
"135",135,117.366618419896,-33.5270762497642,0,7
"136",136,117.377249431004,-33.5270762497642,0,7
"137",137,117.387880442112,-33.5270762497642,0,7
"138",138,117.398511453221,-33.5270762497642,0,7
"139",139,117.409142464329,-33.5270762497642,0,7
"140",140,117.419773475437,-33.5270762497642,0,7
"141",141,117.430404486545,-33.5270762497642,0,7
"142",142,117.441035497653,-33.5270762497642,0,7
"143",143,117.451666508762,-33.5270762497642,0,7
"144",144,117.46229751987,-33.5270762497642,0,7
"145",145,117.472928530978,-33.5270762497642,0,7
"146",146,117.483559542086,-33.5270762497642,0,7
"147",147,117.494190553194,-33.5270762497642,0,7
"148",148,117.504821564302,-33.5270762497642,0,7
"149",149,117.515452575411,-33.5270762497642,0,7
"150",150,117.526083586519,-33.5270762497642,0,7
"151",151,117.005164042218,-33.5377072608722,0,7
"152",152,117.015795053326,-33.5377072608722,0,7
"153",153,117.026426064434,-33.5377072608722,0,7
"154",154,117.037057075543,-33.5377072608722,0,7
"155",155,117.047688086651,-33.5377072608722,0,7
"156",156,117.058319097759,-33.5377072608722,0,7
"157",157,117.068950108867,-33.5377072608722,0,7
"158",158,117.079581119975,-33.5377072608722,0,7
"159",159,117.090212131083,-33.5377072608722,51.6757294890801,7
"160",160,117.100843142192,-33.5377072608722,86.89294996076,7
"161",161,117.1114741533,-33.5377072608722,99.6655076223268,7
"162",162,117.122105164408,-33.5377072608722,31.9222669044714,7
"163",163,117.132736175516,-33.5377072608722,0,7
"164",164,117.143367186624,-33.5377072608722,0,7
"165",165,117.153998197733,-33.5377072608722,0,7
"166",166,117.164629208841,-33.5377072608722,80.2867589907658,7
"167",167,117.175260219949,-33.5377072608722,56.1219937005198,7
"168",168,117.185891231057,-33.5377072608722,21.4609485960339,7
"169",169,117.196522242165,-33.5377072608722,10.8613581415018,7
"170",170,117.207153253273,-33.5377072608722,3.81964161810513,7
"171",171,117.217784264382,-33.5377072608722,0,7
"172",172,117.22841527549,-33.5377072608722,0,7
"173",173,117.239046286598,-33.5377072608722,0,7
"174",174,117.249677297706,-33.5377072608722,0,7
"175",175,117.260308308814,-33.5377072608722,0,7
"176",176,117.270939319923,-33.5377072608722,0,7
"177",177,117.281570331031,-33.5377072608722,3.65890144815138,7
"178",178,117.292201342139,-33.5377072608722,15.107369926611,7
"179",179,117.302832353247,-33.5377072608722,24.4667813009135,7
"180",180,117.313463364355,-33.5377072608722,3.73135935164509,7
"181",181,117.324094375463,-33.5377072608722,0,7
"182",182,117.334725386572,-33.5377072608722,0,7
"183",183,117.34535639768,-33.5377072608722,0,7
"184",184,117.355987408788,-33.5377072608722,0,7
"185",185,117.366618419896,-33.5377072608722,0,7
"186",186,117.377249431004,-33.5377072608722,0,7
"187",187,117.387880442112,-33.5377072608722,0,7
"188",188,117.398511453221,-33.5377072608722,0,7
"189",189,117.409142464329,-33.5377072608722,0,7
"190",190,117.419773475437,-33.5377072608722,0,7
"191",191,117.430404486545,-33.5377072608722,0,7
"192",192,117.441035497653,-33.5377072608722,0,7
"193",193,117.451666508762,-33.5377072608722,0,7
"194",194,117.46229751987,-33.5377072608722,0,7
"195",195,117.472928530978,-33.5377072608722,0,7
"196",196,117.483559542086,-33.5377072608722,0,7
"197",197,117.494190553194,-33.5377072608722,0,7
"198",198,117.504821564302,-33.5377072608722,0,7
"199",199,117.515452575411,-33.5377072608722,0,7
"200",200,117.526083586519,-33.5377072608722,0,7
"201",201,117.005164042218,-33.5483382719801,0,7
"202",202,117.015795053326,-33.5483382719801,0,7
"203",203,117.026426064434,-33.5483382719801,0,7
"204",204,117.037057075543,-33.5483382719801,0,7
"205",205,117.047688086651,-33.5483382719801,0,7
"206",206,117.058319097759,-33.5483382719801,0,7
"207",207,117.068950108867,-33.5483382719801,0,7
"208",208,117.079581119975,-33.5483382719801,11.5594906731967,7
"209",209,117.090212131083,-33.5483382719801,73.3551136301058,7
"210",210,117.100843142192,-33.5483382719801,9.20329453335537,7
"211",211,117.1114741533,-33.5483382719801,52.7851208885989,7
"212",212,117.122105164408,-33.5483382719801,73.8197590021512,7
"213",213,117.132736175516,-33.5483382719801,72.9732479798081,7
"214",214,117.143367186624,-33.5483382719801,48.0690456079126,7
